Alisson,0,5,27.2,0.29,+5.2,129,311,1072,212,28.8,216,41.3,385,16,59,16.6
Kepa Arrizabalaga,0,6,36.5,0.29,-2.5,114,230,903,156,25.9,256,36.5,369,14,35,18.1
Asmir Begovi?,0,5,34.5,0.32,-10.5,129,328,466,128,35.9,192,49.9,365,24,16,11.3
Marcus Bettinelli,0,1,17.5,0.39,-2.5,64,143,176,32,37.3,67,53.9,129,1,11,16.0
Artur Boruc,2,1,15.9,0.24,-2.1,57,167,236,62,36.6,112,48.2,213,4,9,14.3
David Button,0,0,4.8,0.15,-0.2,26,87,74,9,47.7,34,65.1,55,3,2,13.5
Willy Caballero,0,0,0.3,0.11,+0.3,9,20,47,9,29.5,16,46.6,26,2,0,5.8
Petr ?ech,0,0,9.2,0.26,+0.2,32,93,217,46,31.7,53,46.5,104,6,8,12.9
Joel Coleman,0,0,0.5,0.18,-0.5,7,29,31,0,48.3,6,65.7,12,1,1,15.8
Martin D?bravka,2,9,42.3,0.27,-4.7,250,708,850,140,38.9,323,57.9,651,43,33,12.0
Ederson,1,5,23.3,0.25,+0.3,98,239,919,188,26.8,189,42.9,282,19,41,16.9
Neil Etheridge,1,12,68.2,0.30,-0.8,337,1076,876,51,53.9,319,65.6,536,15,46,15.4
?ukasz Fabia?ski,0,10,62.7,0.31,+8.7,306,825,917,155,43.0,309,61.3,554,29,16,12.1
Fabricio,1,0,4.3,0.21,-0.7,16,28,47,14,35.4,14,44.0,29,2,3,13.6
Fraser Forster,0,0,1.9,0.31,-1.1,5,18,16,4,42.6,7,65.1,5,0,0,2.0
Ben Foster,2,6,55.5,0.30,-0.5,340,941,942,98,45.9,308,63.2,575,31,72,16.9
Paulo Gazzaniga,0,0,4.3,0.33,+2.3,15,44,82,13,29.3,26,54.7,42,2,2,13.1
David de Gea,2,7,49.9,0.26,-1.1,265,620,769,153,38.2,332,54.6,524,9,25,13.4
Vicente Guaita,0,2,20.3,0.23,-1.7,123,396,398,90,41.4,191,58.7,317,13,10,12.5
Angus Gunn,0,2,14.9,0.28,-3.1,69,249,215,17,48.4,91,60.8,166,5,12,14.3
Ben Hamer,2,1,18.5,0.37,-1.5,57,155,151,12,48.9,52,56.3,69,5,4,12.8
Joe Hart,1,6,36.0,0.30,-4.0,202,500,434,50,49.2,181,65.2,310,6,14,13.3
Tom Heaton,1,2,22.0,0.26,-2.0,179,457,414,45,48.2,172,60.7,333,8,29,16.4
Wayne Hennessey,1,4,22.8,0.28,-3.2,111,342,373,66,43.6,143,63.1,300,13,15,13.6
Bernd Leno,1,3,44.3,0.27,+3.3,127,385,876,181,31.5,227,45.3,385,10,40,15.3
Hugo Lloris,1,5,39.2,0.27,+9.2,164,408,956,161,32.2,252,42.2,454,13,36,14.9
Jonas L?ssl,1,6,42.1,0.27,-11.9,275,631,880,97,40.7,223,55.6,345,24,29,13.3
Alex McCarthy,0,4,37.3,0.30,-3.7,139,447,478,82,42.8,189,57.6,375,15,17,11.6
Will Norris,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
Rui Patr?cio,1,6,39.3,0.27,-2.7,213,541,579,103,39.1,284,50.5,493,14,18,12.1
Jordan Pickford,2,9,45.3,0.30,+1.3,253,724,979,152,42.3,291,53.7,431,14,40,17.3
Sergio Rico,0,9,50.6,0.29,-3.4,252,606,611,91,41.9,275,55.6,471,6,28,14.3
John Ruddy,0,0,0.1,0.05,+0.1,5,11,14,2,37.9,7,49.7,15,1,0,11.0
Mathew Ryan,1,5,51.2,0.29,-3.8,302,735,702,100,42.7,324,58.8,506,17,11,11.6
Kasper Schmeichel,0,4,40.0,0.26,-8.0,282,639,935,127,37.7,310,52.3,534,12,25,12.5
Juli?n Speroni,0,1,3.6,0.40,-0.4,11,31,22,3,53.1,13,54.9,18,1,0,3.8
Mark Travers,0,0,4.7,0.37,+0.7,5,17,42,13,30.0,14,38.0,18,0,5,29.8
Michel Vorm,0,2,4.2,0.32,+0.2,4,12,51,17,24.7,10,35.6,18,1,2,15.4
