Adri?n,9,18,9,1,1,1,1,0,0,0,0
R?nar Alex R?narsson,0,2,2,0,0,0,0,0,0,0,0
Alisson,32,115,82,18,8,7,10,8,4,1,3
Alphonse Areola,48,161,114,5,13,18,9,6,6,0,0
Kepa Arrizabalaga,8,23,15,2,2,2,2,1,1,0,0
Jack Butland,2,5,3,1,0,0,0,0,0,0,0
David Button,2,6,4,1,0,0,0,0,0,0,0
Willy Caballero,3,3,0,0,1,0,0,0,0,0,0
Scott Carson,3,5,1,1,0,0,0,2,1,1,0
Kiko Casilla,2,10,8,2,0,1,1,0,0,0,0
Karl Darlow,43,126,84,7,4,14,4,4,3,1,0
Martin D?bravka,19,62,44,5,5,3,3,1,1,0,0
Ederson,28,93,65,25,5,6,19,8,7,1,0
?ukasz Fabia?ski,44,138,97,17,8,10,10,5,3,1,1
Fraser Forster,11,31,19,4,0,4,2,3,2,1,0
David de Gea,32,90,59,12,9,5,9,4,4,0,0
Vicente Guaita,64,169,104,11,8,18,8,4,3,1,0
Dean Henderson,12,51,39,9,2,1,4,0,0,0,0
Sam Johnstone,74,234,162,4,11,22,6,11,7,1,3
Caoimh?n Kelleher,1,7,6,1,0,1,1,0,0,0,0
Bernd Leno,37,117,83,17,6,12,11,2,1,1,0
Hugo Lloris,45,155,113,18,8,12,12,10,10,0,0
Emiliano Mart?nez,46,186,133,16,7,15,15,6,5,1,0
Alex McCarthy,57,147,91,8,7,15,7,6,6,0,0
Edouard Mendy,25,81,56,17,7,7,16,3,2,1,0
Illan Meslier,52,188,137,16,5,14,11,9,8,1,0
Will Norris,4,6,2,0,0,2,0,0,0,0,0
Robin Olsen,9,30,21,2,3,2,2,1,1,0,0
Rui Patr?cio,51,148,99,12,9,16,10,8,7,1,0
Bailey Peacock-Farrell,14,24,10,0,0,4,0,0,0,0,0
Jordan Pickford,39,128,90,15,5,11,10,3,2,0,1
Nick Pope,37,149,113,10,9,13,11,3,3,0,0
Aaron Ramsdale,63,206,145,7,2,29,5,4,3,0,1
Darren Randolph,3,9,6,2,0,1,1,0,0,0,0
Marek Rod?k,5,9,4,0,0,2,0,1,1,0,0
John Ruddy,1,4,3,0,0,1,0,0,0,0,0
Mathew Ryan,2,10,8,1,1,1,1,1,1,0,0
Mathew Ryan1,19,34,16,2,4,5,2,4,4,0,0
Robert S?nchez,27,91,65,7,10,10,10,3,2,0,1
Kasper Schmeichel,50,136,88,20,6,12,11,4,4,0,0
Zack Steffen,1,2,1,1,0,0,0,0,0,0,0
Jo?o Virg?nia,0,3,3,0,0,0,0,0,0,0,0
