Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,On-Off,onxG,onxGA,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Value
Christopher Schindler,DF,28,36.2,1555,1510,45,42,0,11,0,3,0,0,0,0,1288,0,7,37,"3,260",37,35,0,0,0.43,19,71,-0.31,27.6,57.7,1,0,1,1,0,0,5,1,1.1,1.1,0.2,15,72,5,13,3,11.5,0,-0.1,183,1105,779,61,36,1936,2,1,1,861,3674,1670,5,2,6,4,1060,1288,1555,26485,8603,399,466,672,772,205,284,0.4,2,65,2,0,1,26,18,0,70,36,0,1,0,122,136,108,15,13,1,0,0,1,0,1,1,0,0,0,0,0,46,14,1,27,47,20,69,34,35,138,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Terence Kongolo,DF,24,30.2,1275,1145,125,32,1,0,28,93,0,0,0,0,978,5,13,32,"2,716",32,26,0,2,0.44,20,65,-0.34,23,50.2,1,1,2,1,0,0,4,0,1.3,1.3,1.1,25,90,42,14,4,14.9,0,-0.3,138,748,724,175,30,1634,18,10,8,762,3209,1869,23,4,17,4,919,978,1275,17265,7866,444,513,427,530,99,193,0.6,9,69,10,4,0,20,25,2,65,46,0,1,1,121,53,35,24,18,1,0,2,1,2,2,2,0,0,0,0,0,44,26,4,27,47,20,42,16,26,106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Jonas Lössl,GK,29,30.9,1105,782,321,98,0,4,0,0,0,0,0,0,711,2,0,31,"2,778",30,30,1,3,0.48,18,54,1.36,22,44.1,0,1,1,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,974,1158,8,3,2,1168,1,1,0,555,3161,2080,2,1,1,1,520,711,1105,26054,21655,46,46,281,289,383,767,0.1,4,22,0,0,0,0,3,0,2,0,0,0,0,41,13,5,8,5,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,12,2,54,141,86,3,5,22,5,5,4,1,0,1,6,42.1,0.27,-11.9,275,631,880,97,40.7,223,55.6,345,24,29,13.3,5
Jonathan Hogg,MF,29,26.3,1556,1531,21,21,6,15,6,0,0,0,0,0,1289,4,21,29,"2,367",29,19,0,2,0.52,13,44,0.79,20.8,38.9,0,1,1,0,0,0,8,1,0.3,0.3,0.8,10,147,34,8,1,20.7,0,-0.3,46,365,1202,287,12,1835,11,9,2,905,3834,1489,21,1,32,19,1088,1289,1556,22062,5783,602,682,523,601,127,197,1.1,16,127,14,1,0,58,35,1,73,41,0,0,0,234,31,33,34,28,0,0,1,3,2,1,1,0,0,0,0,0,18,51,9,27,69,42,46,7,39,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5
Alex Pritchard,MF,25,23.1,981,890,87,19,1,10,78,3,23,14,1,5,691,4,48,30,"2,081",26,11,4,7,0.47,17,40,1.09,19.5,33.8,2,0,2,2,0,0,2,0,2.7,2.7,1.8,72,91,164,47,13,20.3,1,-0.7,8,101,571,604,71,1261,59,29,30,752,3778,1628,52,20,69,51,895,691,981,10133,2557,406,481,200,280,48,109,1.6,32,66,20,6,0,13,51,7,17,24,0,0,0,127,14,35,97,61,12,6,3,13,2,5,2,2,0,0,1,0,10,18,8,10,35,25,26,2,24,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Aaron Mooy,MF,27,25.9,1435,1294,129,44,2,19,137,8,75,25,38,2,1073,12,46,29,"2,330",25,24,4,0,0.52,18,48,0.82,20.8,38.5,3,1,4,2,1,1,4,0,2.8,2.1,2.6,61,154,94,42,13,23.3,8,0.2,28,207,893,627,31,1696,37,22,15,916,4656,2016,56,7,35,45,1082,1073,1435,16856,5417,606,693,287,370,123,238,2.7,43,143,24,8,0,26,12,1,14,42,0,0,0,203,14,26,85,50,26,2,7,0,0,3,2,1,0,0,0,0,19,27,16,21,52,31,43,7,36,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Philip Billing,MF,22,24.3,1261,1111,148,17,0,28,56,129,2,1,0,0,909,2,23,27,"2,188",25,19,2,1,0.52,15,43,0.75,17.5,34.2,2,0,2,2,0,0,7,0,1.8,1.8,1.7,53,101,59,42,9,23.7,3,0.2,64,362,791,505,32,1633,38,20,18,773,4685,2133,50,5,54,28,875,909,1261,16703,4691,408,489,330,455,136,236,1.1,22,69,16,9,0,37,30,2,53,44,0,1,0,174,86,28,68,39,12,2,9,4,2,3,2,1,0,0,0,0,26,39,8,19,42,23,57,16,41,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Mathias Jørgensen,DF,28,23.9,1191,1135,54,42,0,3,4,12,0,0,0,0,974,2,12,24,"2,147",24,23,0,7,0.33,11,38,0.78,16.9,32.8,3,1,4,3,0,0,6,0,1.4,1.4,0.3,21,93,6,8,4,13.6,0,1.6,104,666,735,51,23,1445,4,3,1,722,3283,2022,7,1,7,6,802,974,1191,17693,7632,402,459,439,500,104,181,0.4,8,76,3,1,0,33,14,0,69,31,0,1,0,152,36,51,24,20,1,0,0,1,2,1,1,0,0,0,0,0,27,21,1,27,46,19,29,14,15,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Chris Löwe,DF,29,22.9,1109,911,191,36,0,8,140,121,34,24,9,1,767,7,48,29,"2,057",23,17,6,4,0.24,13,55,-1.05,16,42.9,0,2,2,0,0,0,2,0,0.6,0.6,1.7,46,64,86,18,6,24.2,1,-0.6,52,354,568,396,18,1299,13,9,4,589,3151,1712,37,3,18,12,736,767,1109,13554,4429,386,454,248,348,109,220,1.6,20,42,24,21,0,14,13,2,23,18,0,1,0,98,23,33,39,24,9,3,2,1,0,4,4,0,0,0,0,0,17,15,2,12,33,21,21,3,18,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Erik Durm,DF,26,22.8,1087,832,248,7,0,4,65,240,1,1,0,0,740,7,36,28,"2,055",21,19,7,2,0.39,15,45,0.27,19.3,36,0,1,1,0,0,0,0,0,0.4,0.4,0.6,42,61,106,10,0,21.1,0,-0.4,51,345,576,400,22,1306,21,12,9,564,2938,1359,26,8,33,14,636,740,1087,11480,4444,401,488,238,354,71,155,0.8,11,42,18,9,0,13,22,1,41,22,0,0,0,136,22,36,37,30,1,3,1,1,1,2,2,0,0,0,0,0,24,8,3,14,33,19,26,6,20,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Florent Hadergjonaj,DF,24,20.5,973,803,167,13,2,7,91,154,0,0,0,0,688,3,33,24,"1,842",19,16,5,9,0.46,11,36,0.43,14.5,30.5,0,0,0,0,0,0,1,0,0.2,0.2,1.5,47,65,106,6,2,19.6,0,-0.2,34,261,517,381,12,1146,22,10,12,521,2655,1316,37,4,22,3,665,688,973,11043,4256,371,429,217,316,69,152,1.3,23,43,24,18,0,11,19,2,21,17,0,1,0,106,22,22,41,37,0,1,1,0,2,0,0,0,0,0,0,0,10,18,2,13,37,24,21,7,14,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Steve Mounié,FW,23,19.8,571,538,30,1,0,0,9,1,0,0,0,0,361,3,16,31,"1,778",19,8,12,2,0.48,12,36,0.43,14.5,26.1,2,3,5,2,0,0,1,1,5.8,5.8,1.9,22,34,94,61,23,14.8,0,-3.8,16,53,425,326,114,798,20,13,7,360,2041,685,22,9,61,36,624,361,571,4655,836,234,341,103,154,8,18,1.3,18,32,3,0,0,32,15,15,5,6,0,0,0,56,210,131,33,27,0,0,5,1,0,4,3,0,0,0,1,0,3,4,2,2,12,10,10,1,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Juninho Bacuna,MF,20,15.7,770,699,69,28,6,13,34,19,16,8,6,1,565,2,19,21,"1,412",16,9,5,5,0.38,9,37,-0.62,11.2,28.4,1,0,1,1,0,0,4,0,0.7,0.7,1.4,24,95,30,19,8,27,2,0.3,17,181,613,214,10,990,50,26,24,539,2602,1215,24,3,39,17,605,565,770,10416,3609,267,314,192,242,91,167,1.3,18,92,13,1,0,33,22,1,24,29,0,1,0,121,17,21,41,30,6,2,0,3,0,0,0,0,0,0,0,0,22,19,5,22,54,32,21,1,20,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5
Elias Kachunga,FW,26,13.1,317,307,9,1,0,0,15,5,0,0,0,0,220,1,17,20,"1,182",13,7,7,10,0.25,4,30,-0.85,9.7,23.3,0,0,0,0,0,0,2,0,0.9,0.9,0.2,29,22,66,14,3,15.1,0,-0.9,12,72,201,185,23,452,26,10,16,249,1656,666,19,6,21,20,299,220,317,2864,574,135,172,55,78,12,22,0.5,5,14,5,5,0,24,21,9,4,9,0,1,0,43,23,29,13,9,0,1,2,1,0,0,0,0,0,0,0,0,8,12,2,9,25,16,16,1,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Tommy Smith,DF,26,12.7,629,506,121,6,0,1,24,115,0,0,0,0,468,2,15,15,"1,141",13,11,2,10,0.33,11,35,-0.71,10.6,26.3,0,0,0,0,0,0,2,1,0.1,0.1,0.4,19,35,38,3,0,24.5,0,-0.1,38,246,340,142,8,725,5,3,2,309,1326,630,11,1,5,3,386,468,629,7678,2648,254,289,148,203,50,98,0.3,7,32,5,3,0,10,6,0,18,13,0,0,0,65,14,14,15,13,0,0,1,1,0,1,0,0,0,1,0,0,14,11,1,10,25,15,12,4,8,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Laurent Depoitre,FW,29,11.9,278,268,10,0,0,0,4,0,0,0,0,0,164,0,7,23,"1,068",10,6,13,4,0.35,3,23,-0.38,8.9,20,0,1,1,0,0,0,1,0,2.5,2.5,0.7,10,20,72,30,6,12.9,0,-2.5,13,23,190,219,66,428,15,5,10,196,872,296,5,5,41,31,328,164,278,1924,384,116,177,29,60,5,7,0.4,9,14,2,0,0,19,9,7,2,4,0,0,0,30,80,89,21,18,0,0,1,2,0,1,1,0,0,0,0,0,2,3,1,0,3,3,9,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5
Isaac Mbenza,FW,22,11,272,259,12,1,1,2,34,5,5,4,1,0,183,1,15,22,986,10,3,12,6,0.55,6,25,-0.44,8.9,20,1,1,2,1,0,0,1,0,1,1,0.9,25,18,57,16,5,22.4,0,0,6,55,152,159,14,363,15,5,10,231,1494,686,20,1,18,10,256,183,272,2816,769,101,129,56,79,17,36,0.7,7,11,5,5,0,8,5,5,5,9,0,0,0,52,2,10,14,10,1,0,2,1,0,1,1,0,0,0,0,0,5,5,0,2,4,2,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Karlan Grant,FW,20,9.7,223,203,20,0,0,0,9,2,0,0,0,0,149,0,11,13,877,9,8,4,1,0.38,9,23,-0.02,9.5,19.2,4,0,4,4,0,0,0,0,3.6,3.6,0.3,22,14,51,21,11,15.8,0,0.4,4,21,137,170,33,320,26,12,14,194,1521,643,20,11,28,24,231,149,223,1841,463,91,131,40,53,4,9,0.2,8,4,3,0,0,8,8,4,2,2,1,0,0,38,10,49,22,13,0,5,3,1,0,2,0,0,0,1,1,0,1,2,2,1,3,2,8,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Ben Hamer,GK,30,6.1,204,139,64,12,0,1,0,0,0,0,0,0,97,1,0,7,552,7,6,0,26,0.14,3,21,-1.81,6.1,16.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,224,0,0,0,224,0,0,0,106,669,435,0,0,1,0,84,97,204,4098,3600,7,7,25,25,65,171,0,0,4,0,0,0,0,0,0,1,0,0,0,0,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,2,21,42,22,0,1,6,0,3,3,0,0,2,1,18.5,0.37,-1.5,57,155,151,12,48.9,52,56.3,69,5,4,12.8,0.2
Adama Diakhaby,FW,22,6.1,162,156,5,0,1,0,14,0,1,1,0,0,114,1,7,12,552,6,1,6,6,0.25,2,16,-1.03,3.9,11.4,0,0,0,0,0,0,1,0,0.6,0.6,0.5,22,5,57,7,3,19.1,0,-0.6,2,28,95,115,18,231,21,12,9,171,1209,654,15,9,17,22,188,114,162,1546,227,72,93,36,46,2,8,0.4,5,3,3,1,0,7,9,2,1,3,0,0,0,24,6,15,15,9,0,2,2,1,1,1,0,0,0,1,0,0,4,1,1,3,11,8,7,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Jason Puncheon,MF,32,4.2,214,195,18,9,0,4,9,4,5,2,0,2,165,1,7,6,382,5,3,1,2,0.17,0,9,-0.79,3.2,5.1,0,0,0,0,0,0,1,0,0.3,0.3,0.5,6,26,17,6,0,21.3,0,-0.3,5,32,142,93,3,265,7,5,2,151,887,321,15,1,12,12,167,165,214,2673,960,79,94,50,64,21,30,0.2,5,20,4,0,0,9,2,1,3,4,0,0,0,21,6,6,10,9,0,0,1,0,0,0,0,0,0,0,0,0,1,5,1,1,7,6,3,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Danny Williams,MF,29,1.1,24,24,0,0,0,0,0,0,0,0,0,0,19,0,0,5,96,1,0,4,5,0.6,0,1,0.5,0.5,1.4,0,0,0,0,0,0,1,0,0,0,0,1,3,1,1,0,30.3,0,0,2,7,23,5,0,35,1,1,0,16,107,39,3,0,1,4,18,19,24,313,56,7,8,12,14,0,1,0,1,2,0,0,0,2,1,0,1,0,0,0,0,7,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Joel Coleman,GK,22,1,37,28,9,3,0,0,0,0,0,0,0,0,14,0,0,1,90,1,1,0,7,1,1,1,1.46,0.7,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,38,0,0,0,38,0,0,0,17,96,67,0,0,0,0,16,14,37,546,451,2,2,3,3,8,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,1,0,0,0,0,0,0,0,0,0.5,0.18,-0.5,7,29,31,0,48.3,6,65.7,12,1,1,15.8,0.5
Abdelhamid Sabiri,FW,21,0.5,8,8,0,0,0,0,0,0,0,0,0,0,7,0,0,2,48,1,0,1,0,0,1,3,-2.36,0.6,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,6,2,1,12,0,0,0,6,28,20,1,0,1,0,7,7,8,62,11,7,8,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
Ramadan Sobhi,FW,21,0.9,50,46,4,0,1,0,3,4,0,0,0,0,39,0,1,4,79,0,0,4,5,0,0,2,-0.88,0.5,2,0,0,0,0,0,0,0,0,0,0,0.2,3,6,14,0,0,0,0,0,0,6,16,39,3,61,5,2,3,46,242,107,2,3,4,5,45,39,50,423,131,28,31,6,11,0,2,0.2,3,0,3,1,0,0,1,0,1,1,0,0,0,8,3,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
